roster_position,player_name,team,opponent,salary,predicted_fantasy_score,value
PG,Shai Gilgeous-Alexander,OKC,GS,10900,52.29393791429924,4.797608982963233
PF,Giannis Antetokounmpo,MIL,CHA,10700,51.41500244140625,4.805140415084697
PG,LaMelo Ball,CHA,MIL,8700,39.61739183508831,4.553723199435439
PF,Zion Williamson,NO,POR,8000,37.21052631578947,4.651315789473684
SG,Ayo Dosunmu,CHI,ORL,5600,22.977778682002317,4.1031747646432715
SF,Isaac Okoro,CHI,ORL,4500,16.82800048828125,3.7395556640625003
SF,Kris Murray,POR,NO,4000,15.974193942162298,3.9935484855405745
C,Al Horford,GS,OKC,3900,18.875,4.839743589743589
SG,Quenton Jackson,IND,SA,3700,14.23076923076923,3.846153846153846
