csv_name,csv_team,csv_opponent,salary,predicted_fantasy_score,value
Maxime Raynaud,SAC,LAC,5800,29.037036641621206,5.0063856278657255
DeMar DeRozan,SAC,LAC,7200,34.470725475397,4.787600760471806
James Harden,SAC,LAC,9300,41.61544989627422,4.474779558739163
Russell Westbrook,SAC,LAC,8000,25.777156512546654,3.2221445640683317
John Collins,SAC,LAC,6000,11.24092637604519,1.873487729340865
Doug McDermott,SAC,LAC,3600,5.803345513452608,1.6120404204035022
RayJ Dennis,SAC,LAC,3500,1.5553220213319285,0.444377720380551
Cam Christie,SAC,LAC,3500,0.15606357452674297,0.044589592721926564
