PG,PG,SG,SG,SF,SF,PF,PF,C
125122-80810:De'Aaron Fox,125122-9642:Russell Westbrook,125122-160174:Jordan Goodwin,125122-171672:AJ Green,125122-145341:Isaac Okoro,125122-188429:Kris Murray,125122-40199:Giannis Antetokounmpo,125122-110310:Zion Williamson,125122-14514:Nikola Vucevic
