csv_name,csv_team,csv_opponent,salary,predicted_fantasy_score,value
Maxime Raynaud,SAC,LAC,5800,29.037036641621206,5.0063856278657255
Payton Pritchard,BOS,UTA,6800,26.537860096400347,3.902626484764757
Cedric Coward,PHI,MEM,5500,20.44519966483074,3.717309029969225
Jaylen Brown,BOS,UTA,9500,46.65273837737177,4.910814566039133
Paul George,PHI,MEM,7000,21.24524824559303,3.035035463656147
John Collins,SAC,LAC,6000,11.24092637604519,1.873487729340865
Maxi Kleber,DET,LAL,3600,9.149240476075327,2.541455687798702
Ja Morant,PHI,MEM,7600,29.378669843164694,3.865614453047986
Russell Westbrook,SAC,LAC,8000,25.777156512546654,3.2221445640683317
