roster_position,player_name,team,opponent,salary,predicted_fantasy_score,value
PF,Giannis Antetokounmpo Antetokounmpo,MIL,CHA,10700,51.41500244140625,4.805140415084697
PG,LaMelo Ball Ball,CHA,MIL,8700,39.61739183508831,4.553723199435439
PG,De'Aaron Fox Fox,SA,IND,8300,37.51666768391927,4.520080443845695
PF,Zion Williamson Williamson,NO,POR,8000,37.21052631578947,4.651315789473684
C,Deandre Ayton Ayton,LAL,MEM,6000,29.69259304470486,4.94876550745081
SG,Cam Thomas Thomas,BKN,WAS,5700,26.181818181818183,4.5933014354066986
SF,Isaac Okoro Okoro,CHI,ORL,4500,16.82800048828125,3.7395556640625003
SG,AJ Green Green,MIL,CHA,4100,18.067741147933468,4.40676613364231
SF,Kris Murray Murray,POR,NO,4000,15.974193942162298,3.9935484855405745
