csv_name,csv_team,csv_opponent,salary,predicted_fantasy_score,value
Adou Thiero,DET,LAL,3500,9.817967408302106,2.805133545229173
Maxi Kleber,DET,LAL,3600,9.149240476075327,2.541455687798702
Paul Reed,DET,LAL,3700,8.034112995428236,2.17138189065628
Dalton Knecht,DET,LAL,3600,3.9151038556519913,1.0875288487922197
Bobi Klintman,DET,LAL,3500,2.1407372083917497,0.6116392023976428
Bronny James,DET,LAL,3500,0.15606357452674297,0.044589592721926564
Marcus Sasser,DET,LAL,3500,0.15606357452674297,0.044589592721926564
Chaz Lanier,DET,LAL,3500,0.15606357452674297,0.044589592721926564
