roster_position,player_name,team,opponent,salary,predicted_fantasy_score,value
PG,Luka Doncic Doncic,LAL,MEM,12100,58.320831298828125,4.8199034131262914
PF,Giannis Antetokounmpo Antetokounmpo,MIL,CHA,10700,51.41500244140625,4.805140415084697
PF,Zion Williamson Williamson,NO,POR,8000,37.21052631578947,4.651315789473684
C,Nic Claxton Claxton,BKN,WAS,6600,33.96451691658266,5.146138926754949
SG,Cam Thomas Thomas,BKN,WAS,5700,26.181818181818183,4.5933014354066986
SF,Isaac Okoro Okoro,CHI,ORL,4500,16.82800048828125,3.7395556640625003
SG,AJ Green Green,MIL,CHA,4100,18.067741147933468,4.40676613364231
PG,Jose Alvarado Alvarado,NO,POR,4100,18.484375,4.508384146341464
SF,Kris Murray Murray,POR,NO,4000,15.974193942162298,3.9935484855405745
