PG,PG,SG,SG,SF,SF,PF,PF,C
125122-84669:Luka Doncic,125122-84690:Jalen Brunson,125122-171672:AJ Green,125122-228143:Will Richard,125122-145341:Isaac Okoro,125122-188429:Kris Murray,125122-40199:Giannis Antetokounmpo,125122-188431:Noah Clowney,125122-203714:Donovan Clingan
