PG,PG,SG,SG,SF,SF,PF,PF,C
125122-84680:Shai Gilgeous-Alexander,125122-145485:LaMelo Ball,125122-157849:Ayo Dosunmu,125122-179762:Quenton Jackson,125122-145341:Isaac Okoro,125122-188429:Kris Murray,125122-40199:Giannis Antetokounmpo,125122-110310:Zion Williamson,125122-9453:Al Horford
