roster_position,player_name,team,opponent,salary,predicted_fantasy_score,value
PF,Giannis Antetokounmpo,MIL,CHA,10700,51.41500244140625,4.805140415084697
PG,De'Aaron Fox,SA,IND,8300,37.51666768391927,4.520080443845695
PF,Zion Williamson,NO,POR,8000,37.21052631578947,4.651315789473684
PG,Russell Westbrook,SAC,PHO,7500,33.92941104664522,4.5239214728860295
C,Nikola Vucevic,CHI,ORL,7200,33.859375,4.702690972222222
SG,Jordan Goodwin,PHO,SAC,5500,21.15,3.8454545454545452
SF,Isaac Okoro,CHI,ORL,4500,16.82800048828125,3.7395556640625003
SG,AJ Green,MIL,CHA,4100,18.067741147933468,4.40676613364231
SF,Kris Murray,POR,NO,4000,15.974193942162298,3.9935484855405745
