roster_position,player_name,team,opponent,salary,predicted_fantasy_score,value
PG,Luka Doncic,LAL,MEM,12100,58.320831298828125,4.8199034131262914
PF,Giannis Antetokounmpo,MIL,CHA,10700,51.41500244140625,4.805140415084697
PG,Jalen Brunson,NY,ATL,9300,43.72666829427083,4.701792289706541
C,Donovan Clingan,POR,NO,6000,30.69666748046875,5.116111246744792
PF,Noah Clowney,BKN,WAS,5300,23.248387490549398,4.386488205764038
SF,Isaac Okoro,CHI,ORL,4500,16.82800048828125,3.7395556640625003
SG,AJ Green,MIL,CHA,4100,18.067741147933468,4.40676613364231
SF,Kris Murray,POR,NO,4000,15.974193942162298,3.9935484855405745
SG,Will Richard,GS,OKC,4000,15.758620689655173,3.939655172413793
