firstName,lastName,personId,gameId,gameDateTimeEst,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,gameDate,fantasyScore,points_MA3,reboundsTotal_MA3,assists_MA3,steals_MA3,blocks_MA3,turnovers_MA3,fantasyScore_MA3,numMinutes_MA3,points_MA5,reboundsTotal_MA5,assists_MA5,steals_MA5,blocks_MA5,turnovers_MA5,fantasyScore_MA5,numMinutes_MA5,points_MA10,reboundsTotal_MA10,assists_MA10,steals_MA10,blocks_MA10,turnovers_MA10,fantasyScore_MA10,numMinutes_MA10,fantasyScore_last1games,points_last1games,fantasyScore_last3games,points_last3games,fantasyScore_last5games,points_last5games,fantasyScore_momentum,year,points_season_avg,reboundsTotal_season_avg,assists_season_avg,steals_season_avg,blocks_season_avg,turnovers_season_avg,fantasyScore_season_avg,numMinutes_season_avg,points_career_avg,reboundsTotal_career_avg,assists_career_avg,steals_career_avg,blocks_career_avg,turnovers_career_avg,fantasyScore_career_avg,numMinutes_career_avg,minutes_MA5,minutes_trend,usage_rate_approx,usage_rate_MA5,fg_efficiency,fg_efficiency_MA5,games_played,is_home,days_rest,is_back_to_back,day_of_week,is_weekend,month,is_playoff_season,is_win,opponent_encoded,team_encoded,vs_opponent_avg,team_avg_fantasy,team_avg_fantasy_MA5,predicted_fantasy_score,Player,Game,Game_Date
Ryan,Rollins,1631157,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,35.03,20.0,5.0,1.0,2.0,12.0,7.0,0.583,9.0,5.0,0.556,2.0,1.0,0.5,5.0,2.0,7.0,4.0,1.0,-2.0,2025-12-27 15:00:00,40.9,19.333333333333332,6.0,4.666666666666667,1.6666666666666667,0.6666666666666666,1.0,37.199999999999996,30.24,18.5,5.5,4.75,1.25,0.75,0.75,35.474999999999994,28.29,18.5,5.5,4.75,1.25,0.75,0.75,35.474999999999994,28.29,29.3,15.0,33.666666666666664,18.0,33.666666666666664,18.0,2.6499999999999995,2025,18.0,5.0,4.666666666666667,1.0,0.6666666666666666,0.6666666666666666,33.666666666666664,26.043333333333333,18.0,5.0,4.666666666666667,1.0,0.6666666666666666,0.6666666666666666,33.666666666666664,26.043333333333333,28.29,3.1475,0.3415883859948762,0.48437946187264724,0.578512396694215,0.5198797769282097,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,40.68976180107381,Ryan Rollins,Bucks vs Bulls,2025-12-27 15:00:00
Pete,Nance,1631250,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-27 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,2.1999999999999997,-1.0,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,2.1999999999999997,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,0.12047027624958612,Pete Nance,Bucks vs Bulls,2025-12-27 15:00:00
AJ,Green,1631260,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,28.0,6.0,1.0,0.0,2.0,9.0,2.0,0.222,8.0,2.0,0.25,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,14.0,2025-12-27 15:00:00,13.9,10.0,2.0,1.6666666666666667,1.6666666666666667,0.0,1.0,17.23333333333333,29.49,8.5,2.25,1.75,1.25,0.0,1.25,15.075,27.9325,8.5,2.25,1.75,1.25,0.0,1.25,15.075,27.9325,26.9,20.0,15.466666666666667,9.333333333333334,15.466666666666667,9.333333333333334,1.3250000000000002,2025,9.333333333333334,2.3333333333333335,2.0,1.0,0.0,1.6666666666666667,15.466666666666667,27.91,9.333333333333334,2.3333333333333335,2.0,1.0,0.0,1.6666666666666667,15.466666666666667,27.91,27.9325,1.1849999999999996,0.32028469750889677,0.3171762177449493,0.21978021978021978,0.2603806452928382,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,13.939433547180744,AJ Green,Bucks vs Bulls,2025-12-27 15:00:00
Andre,Jackson Jr.,1641748,22500437,2025-12-27 15:00:00,Milwaukee,Bucks,Chicago,Bulls,,,,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-27 15:00:00,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,2.1999999999999997,1.25,0.0,0.0,0.0,0.0,0.25,1.0,2.1999999999999997,1.25,0.0,0.0,0.0,0.0,0.25,1.0,2.1999999999999997,2.0,3.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.0,2025,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,2.1999999999999997,1.6666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,2.1999999999999997,2.1999999999999997,0.0,0.0,0.2976190476190476,0.0,0.11904761904761904,4,0,1.0,1,5,1,12,0,1,4,19,0.0,15.814285714285715,15.814285714285715,0.12047027624958612,Andre Jackson Jr.,Bucks vs Bulls,2025-12-27 15:00:00
Nikola,Vucevic,202696,22500437,2025-12-27 15:00:00,Chicago,Bulls,Milwaukee,Bucks,,,,0.0,0,1,25.41,16.0,1.0,1.0,1.0,14.0,7.0,0.5,4.0,2.0,0.5,0.0,0.0,0.0,5.0,2.0,7.0,2.0,2.0,-8.0,2025-12-27 15:00:00,27.9,14.666666666666666,8.0,2.0,0.3333333333333333,1.0,0.6666666666666666,29.266666666666666,28.100000000000005,14.25,7.25,3.0,1.0,0.75,0.75,30.2,28.615000000000002,14.25,7.25,3.0,1.0,0.75,0.75,30.2,28.615000000000002,18.9,7.0,30.96666666666667,13.666666666666666,30.96666666666667,13.666666666666666,-1.2750000000000004,2025,13.666666666666666,7.333333333333333,3.6666666666666665,1.0,0.6666666666666666,0.3333333333333333,30.96666666666667,29.683333333333334,13.666666666666666,7.333333333333333,3.6666666666666665,1.0,0.6666666666666666,0.3333333333333333,30.96666666666667,29.683333333333334,28.615000000000002,-1.1875,0.5488043904351234,0.4283806391804267,0.49645390070921985,0.47280461591320433,4,1,1.0,1,5,1,12,0,0,9,14,0.0,14.742857142857144,15.799999999999997,28.000221996513773,Nikola Vucevic,Bucks vs Bulls,2025-12-27 15:00:00
Zach,Collins,1628380,22500437,2025-12-27 15:00:00,Chicago,Bulls,Milwaukee,Bucks,,,,0.0,0,1,24.24,10.0,2.0,0.0,0.0,9.0,5.0,0.556,1.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,10.0,1.0,0.0,0.0,2025-12-27 15:00:00,25.0,11.666666666666666,7.333333333333333,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,23.96666666666667,20.299999999999997,11.25,7.25,1.75,0.0,0.5,0.75,22.825,19.1225,11.25,7.25,1.75,0.0,0.5,0.75,22.825,19.1225,24.5,15.0,22.099999999999998,11.666666666666666,22.099999999999998,11.666666666666666,1.4000000000000004,2025,11.666666666666666,6.333333333333333,1.6666666666666667,0.0,0.6666666666666666,1.0,22.099999999999998,17.416666666666668,11.666666666666666,6.333333333333333,1.6666666666666667,0.0,0.6666666666666666,1.0,22.099999999999998,17.416666666666668,19.1225,2.1624999999999996,0.3697617091207888,0.40398621968814846,0.5494505494505495,0.6251246937521449,4,1,1.0,1,5,1,12,0,0,9,14,0.0,14.742857142857144,15.535714285714286,25.009610354821262,Zach Collins,Bucks vs Bulls,2025-12-27 15:00:00
Jevon,Carter,1628975,22500437,2025-12-27 15:00:00,Chicago,Bulls,Milwaukee,Bucks,,,,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-27 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1.0,1,5,1,12,0,0,9,14,0.0,14.742857142857144,15.271428571428572,0.12047027624958612,Jevon Carter,Bucks vs Bulls,2025-12-27 15:00:00
Kevin,Huerter,1628989,22500437,2025-12-27 15:00:00,Chicago,Bulls,Milwaukee,Bucks,,,,0.0,0,1,23.42,7.0,4.0,0.0,0.0,10.0,3.0,0.3,6.0,1.0,0.167,0.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0,0.0,2025-12-27 15:00:00,20.2,8.333333333333334,4.666666666666667,2.0,0.0,0.0,0.3333333333333333,16.599999999999998,24.043333333333333,10.25,3.75,2.75,0.25,0.25,0.5,19.375,23.2925,10.25,3.75,2.75,0.25,0.25,0.5,19.375,23.2925,10.7,9.0,19.099999999999998,11.333333333333334,19.099999999999998,11.333333333333334,-1.875,2025,11.333333333333334,3.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.6666666666666666,19.099999999999998,23.25,11.333333333333334,3.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,0.6666666666666666,19.099999999999998,23.25,23.2925,0.5950000000000006,0.4251700680272108,0.37918507272469637,0.297029702970297,0.4546165032847504,4,1,1.0,1,5,1,12,0,0,9,14,0.0,14.742857142857144,15.007142857142856,19.665438050564045,Kevin Huerter,Bucks vs Bulls,2025-12-27 15:00:00
Coby,White,1629632,22500437,2025-12-27 15:00:00,Chicago,Bulls,Milwaukee,Bucks,,,,0.0,0,1,28.43,16.0,1.0,0.0,0.0,12.0,6.0,0.5,8.0,4.0,0.5,1.0,0.0,0.0,2.0,0.0,2.0,3.0,5.0,-5.0,2025-12-27 15:00:00,14.899999999999999,17.666666666666668,3.0,3.6666666666666665,1.0,0.0,4.333333333333333,24.433333333333334,29.513333333333335,18.5,2.75,4.0,0.75,0.0,4.0,25.299999999999997,29.895,18.5,2.75,4.0,0.75,0.0,4.0,25.299999999999997,29.895,29.4,13.0,28.766666666666666,19.333333333333332,28.766666666666666,19.333333333333332,-3.25,2025,19.333333333333332,3.0,5.0,1.0,0.0,3.6666666666666665,28.766666666666666,30.383333333333336,19.333333333333332,3.0,5.0,1.0,0.0,3.6666666666666665,28.766666666666666,30.383333333333336,29.895,-0.6524999999999999,0.4206098843322818,0.41674387950509245,0.49586776859504134,0.454703173301369,4,1,1.0,1,5,1,12,0,0,9,14,0.0,14.742857142857144,14.742857142857144,15.376832131910636,Coby White,Bucks vs Bulls,2025-12-27 15:00:00
Isaac,Okoro,1630171,22500437,2025-12-27 15:00:00,Chicago,Bulls,Milwaukee,Bucks,,,,0.0,0,1,19.28,10.0,2.0,0.0,0.0,8.0,4.0,0.5,1.0,1.0,1.0,2.0,1.0,0.5,2.0,2.0,4.0,2.0,0.0,-2.0,2025-12-27 15:00:00,17.8,8.666666666666666,2.3333333333333335,1.6666666666666667,0.0,0.3333333333333333,0.0,14.633333333333335,19.61,10.0,2.0,1.5,0.5,0.25,0.0,16.15,19.2975,10.0,2.0,1.5,0.5,0.25,0.0,16.15,19.2975,12.2,8.0,15.6,10.0,15.6,10.0,-0.7249999999999996,2025,10.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,15.6,19.30333333333333,10.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,15.6,19.30333333333333,19.2975,0.23000000000000043,0.4127966976264189,0.33674155860333826,0.4938271604938272,0.5637504324014255,4,1,1.0,1,5,1,12,0,0,9,14,0.0,14.742857142857144,14.742857142857144,17.48669601077207,Isaac Okoro,Bucks vs Bulls,2025-12-27 15:00:00
